"IDCocina";"Cocina"
1;"  Sin Definir"
2;"Mejicana"
3;"Francesa"
4;"Española"
5;"Afrodisíaca"
6;"Argentina"
7;"China"
8;"Italiana"
9;"Internacional"
10;"Brasileña"
11;"Otras Sudamericanas"
12;"Centroamericana/Caribeña"
13;"Norteamericana"
14;"Alemana"
15;"Griega"
16;"Otras Europeas"
17;"Turca"
18;"India"
19;"Japonesa"
20;"Judía"
21;"Medio Oriente"
22;"Africana"
23;"Desconocida"
24;"Thai"
25;"Inglesa"
26;"Peruana"
27;"Medieval"
28;"Galesa"
29;"Chile"
30;"Asiática"
31;"Vasca"
32;"Vegana"
33;"Centroeuropea"
