"IDIngredienteReceta";"IDReceta";"IDIngrediente";"Cantidad";"IDUnidad";"Observación"
7;2;11;1,00;2;
9;2;17;1,00;2;
10;2;12;0,33;6;
13;2;18;1,00;6;
14;2;3;1,00;8;"Lo necesario para freir"
15;2;13;2,00;7;
16;2;15;1,00;2;
17;2;7;30,00;3;
18;2;16;6,00;7;
19;3;18;280,00;3;
20;3;19;6,00;7;"Grandes"
21;3;10;6,00;7;
24;3;20;4,00;2;
27;3;21;250,00;9;
29;3;22;0,50;2;
30;4;12;1,00;6;
31;4;11;60,00;3;
32;4;9;1,00;6;"Tamizada"
33;4;10;4,00;7;
35;4;23;0,50;6;"Rallado"
37;4;24;1,00;1;"Molida"
38;4;3;1,00;8;"Para freir"
39;4;12;1,00;6;"Para Salsa Chile"
41;4;25;2,00;10;"Para Salsa Chile"
42;4;18;2,00;1;"Para Salsa Chile"
43;4;26;2,00;1;"Para Salsa Chile"
44;4;15;2,00;1;"Para Salsa Chile"
45;4;2;1,00;11;"Para Salsa Chile"
47;5;27;500,00;3;
48;5;2;1,00;11;"Negra"
49;5;4;1,50;12;
51;5;28;1,00;7;"Exprimido"
52;5;29;1,00;8;"Parmesano rallado grueso o cortado con pelapapas"
53;5;1;1,00;11;
54;6;30;125,00;3;
55;6;31;125,00;3;
56;6;32;2,00;7;"Pequeñas"
57;6;28;0,50;7;"Exprimido"
58;6;4;2,00;2;
59;6;1;1,00;11;
60;6;33;4,00;2;"Picado finamente"
61;6;2;1,00;11;"Recién molida"
63;7;34;2,00;6;"Gruesa"
64;7;8;1,00;6;
65;7;18;1,00;6;
66;7;35;0,50;6;
67;7;36;0,30;6;
68;7;37;150,00;3;"Derretida"
69;7;11;1,00;8;"Para untar la asadera"
70;8;35;200,00;3;
72;8;38;2,00;2;
73;8;39;3,00;13;
74;8;40;250,00;9;"Bien frío"
75;9;41;2,00;7;"Cortados gruesamente"
76;9;21;750,00;9;
77;9;42;4,00;2;
78;9;35;4,00;2;
79;9;43;1,00;1;
80;9;35;4,00;2;"Para decoración"
81;9;41;4,00;14;"Para decoración"
82;8;18;2,00;2;
84;11;44;500,00;3;"Tipo Fortuna o doble carolina"
85;11;12;450,00;9;
86;11;45;100,00;9;
87;11;1;0,50;2;
88;11;18;100,00;3;
89;11;46;2,00;2;
90;12;48;500,00;3;"Pekado"
91;12;45;0,50;6;
92;12;18;0,50;6;
93;12;1;1,00;2;
94;12;47;1,00;8;
95;13;49;2,00;7;
96;13;44;2,00;6;"Preparado para Sushi"
98;13;50;1,00;7;"Japonés"
99;13;51;1,00;1;
100;13;1;1,00;8;
101;13;45;1,00;2;
103;14;52;4,00;7;"de entre 200-250 gramos"
104;14;21;1,00;6;"o descremada"
105;14;7;1,00;6;
106;14;11;100,00;3;
107;14;53;75,00;3;"crudas, cortadas en rebanadas a largo (fileteadas)"
108;14;35;1,00;2;
109;14;1;1,00;11;
110;14;2;1,00;11;
111;14;28;1,00;7;"cortado en rodajas finas"
112;15;54;100,00;3;
113;15;8;300,00;3;
114;15;1;1,00;1;
115;15;2;1,00;5;
116;15;12;5,00;2;"Fría"
117;15;11;1,00;8;"Para untar la placa"
118;15;1;1,00;8;"Para espolvorear"
119;15;7;1,00;8;"Para espolvorear"
120;16;7;1,00;4;
121;16;1;1,00;1;
122;16;18;2,00;2;
123;16;55;100,00;3;
125;16;21;0,50;15;"Tibia"
126;16;10;1,00;7;
127;16;56;1,00;1;
128;16;11;100,00;3;"Blanda a temperatura ambiente"
129;16;57;3,00;2;
130;16;11;1,00;8;"Para untar la placa"
131;16;10;1,00;7;"ligeramente batido, para pintar"
132;16;7;1,00;8;"Para espolvorear"
133;17;7;400,00;3;
134;17;18;1,00;1;
135;17;1;0,50;1;
136;17;55;1,00;1;
137;17;12;150,00;9;
138;17;58;2,00;2;
139;17;7;1,00;8;"Para espolvorear"
140;17;11;1,00;8;"Para untar placas"
141;18;55;2,00;2;
142;18;21;1,50;6;"Tibia"
143;18;7;6,00;6;
144;18;57;2,00;2;
145;18;11;2,00;2;"derretida, a temperatura ambiente"
146;18;14;2,00;7;
147;18;18;2,00;2;
148;18;1;1,00;2;
149;18;7;1,00;8;"Para espolvorear"
150;19;55;25,00;3;"A temperatura ambiente"
151;19;12;125,00;9;"Tibia"
152;19;7;500,00;3;
153;19;1;1,50;2;
154;19;12;250,00;9;"Fría"
155;19;4;2,00;2;
156;19;7;1,00;8;"Para espolvorear"
157;19;4;1,00;8;"Para pintar"
158;20;60;1,00;7;"Napolitana"
159;20;61;750,00;3;"A punto, pelados, sin semillas picados"
160;20;25;3,00;10;"Pelados, grandes, finamente picados"
161;20;62;2,00;2;"Fresco, picado finamente"
162;20;4;4,00;2;
163;20;1;1,00;11;
164;20;63;125,00;3;"Desmenuzada, para el estilo romano"
166;21;14;4,00;7;
167;21;35;2,00;6;
168;21;38;0,50;6;
169;21;64;2,00;2;"Las flores, lavadas, escurridas"
170;22;18;150,00;3;
171;22;7;30,00;3;
172;22;65;40,00;3;
173;22;11;30,00;3;"A temperatura ambiente"
174;22;21;0,50;15;
