"IDNotaPorReceta";"IDReceta";"IDNota"
1;2;2
2;2;3
3;3;4
4;3;5
5;3;6
6;4;7
7;4;8
8;5;9
9;5;10
10;6;11
11;7;12
12;7;13
13;9;15
14;11;16
15;11;17
16;12;18
17;13;17
18;14;21
19;14;22
20;14;23
21;15;13
22;15;24
23;16;25
24;16;26
25;17;27
26;17;28
27;18;29
28;18;25
29;19;32
30;19;31
31;19;30
32;19;28
33;21;37
34;21;36
35;22;15
36;23;43
37;25;41
38;26;42
39;26;43
40;27;44
41;27;43
42;27;42
43;28;24
44;29;30
45;30;45
46;31;45
47;31;31
48;32;46
49;33;7
50;33;47
51;34;22
52;34;48
53;35;43
54;36;49
55;37;50
56;38;51
57;38;52
58;38;53
59;39;48
60;39;54
61;39;13
62;40;13
63;40;55
64;41;57
65;41;56
66;41;58
67;41;59
68;49;62
69;49;61
70;48;60
71;50;63
72;50;64
73;51;65
74;51;66
75;51;67
76;51;48
79;52;68
80;52;69
81;53;44
82;53;71
83;53;70
84;54;36
85;54;43
87;55;66
88;55;72
90;55;73
91;56;74
95;58;4
97;59;78
98;59;79
99;60;60
100;61;4
101;61;80
102;63;7
103;63;81
104;64;4
105;65;82
106;65;83
107;66;53
108;66;84
109;67;85
110;68;86
111;68;87
112;68;88
113;69;89
114;69;90
115;70;91
116;70;92
117;70;93
118;71;7
119;71;94
120;72;95
121;72;96
122;74;65
123;74;98
124;75;7
125;76;99
126;76;100
127;76;101
128;76;77
129;77;95
130;77;91
131;78;102
132;78;103
133;79;104
134;79;105
135;79;106
136;81;13
137;81;107
138;82;69
139;82;108
140;83;9
141;84;76
142;84;109
143;85;55
144;85;111
145;86;112
146;86;71
147;87;43
148;87;5
149;88;114
150;88;113
151;88;115
152;89;116
153;89;23
154;90;55
155;90;117
156;91;118
157;91;119
158;92;90
159;92;120
160;93;93
161;93;91
162;93;122
163;94;123
164;94;124
165;95;125
166;95;126
167;96;4
168;96;127
169;97;4
170;98;128
171;98;129
172;99;130
173;99;131
174;100;41
175;100;132
176;102;40
177;102;124
178;103;70
179;103;134
180;103;135
181;104;136
182;104;137
183;105;138
184;105;139
185;106;140
186;106;141
187;107;130
188;107;68
189;107;142
190;108;47
191;108;128
192;108;131
193;109;143
194;110;18
195;110;145
196;111;9
197;111;146
198;112;90
199;112;147
200;114;3
201;114;8
202;114;148
203;115;149
204;115;68
205;115;141
206;116;150
207;116;151
208;117;123
209;117;152
210;118;7
211;118;9
212;119;6
213;119;153
214;119;154
215;120;157
216;120;156
217;120;158
218;121;159
219;121;160
220;122;23
221;123;1
222;124;70
223;124;162
224;125;36
225;126;163
226;127;105
227;127;164
228;128;99
229;128;165
230;128;166
231;129;141
232;130;77
233;130;101
234;130;167
235;131;51
236;132;168
237;133;169
238;133;170
239;134;1
240;135;146
241;136;54
242;136;172
243;137;173
244;137;174
245;137;175
246;138;176
247;139;177
248;139;178
249;140;179
250;140;180
251;141;181
252;142;43
253;142;71
254;143;107
255;143;182
256;145;183
257;146;184
258;148;185
259;148;186
260;149;4
261;150;187
262;151;101
263;151;9
264;151;188
265;152;188
266;152;189
267;153;188
268;153;135
269;154;190
270;154;191
271;155;188
272;155;192
273;155;193
274;156;194
275;156;195
