"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
2;"Buñuelos de Manzanas Acaramelados";" Pele las manzanas, retíreles el centro y córtelas en cuartos. Luego, espolvoree con un poco de harina y vierta el resto, junto con la fécula en el bol. Añada los huevos y con el tenedor mezcle bien hasta que se integre en una mezcla lisa.
En la sartén u la olla pequeña vierta aceite en cantidad abundante, para que las frutas floten al freirse, y lleve al fuego medio para precalentar. Mientras tanto ayudándose con las dos cucharas pase los trozos de manzana por la pasta, hasta que queden totalmente cubiertos y coloquelos en en aceite,que debe estar bien caliente, pero sin humear.
Suba la llama a media/alta y fría hasta que estén dorados de ambos lados, debe darlos vuelta en la mitad de la cocción, tardan unos 6 min. en total. En la medida que están listos retire con la espumadera y colóquelos sobre papel absorbente.
Mientras tanto, vaya disolviendo, en la olla pequeña, el azúcar en el agua a fuego fuerte, sin dejar de revolver con la cuchara de madera, hasta conseguir conseguir almíbar a punto bola blanda.
 Este punto se alcanza después que hierve unos 13 min., más o menos, se reconoce pues al verter un poco de almíbar en una taza con agua fría se forma una bolita, que si se toma con la yema de los dedos y presiona se deforma.
En ese momento, retire del fuego, vierta las semillas de sésamo y bañe los buñuelos de manzana con el almíbar. Enmanteque la fuente, distribúyalos, sin encimarlos, para que no se peguen y deje reposar 2 min., para que se endurezca un poco el caramelo, antes de servir.";6,00;11;7;4;"Si desea convertirlo en un postre para más personas puede acompañarlos con una bocha de Helado de Vainilla o para la misma cantidad de porciones o menos aún, también puede optar por acompañarlas con helado disminuyendo la cantidad de ingredientes.";2
3;"Bonet";"1- Ponga 80 g. de azúcar en el molde, añada 1/2 cucharada de agua, lleve a fuego lento, hasta que tome color dorado, girándolo suavemente, para que se haga parejo. Retire, distribuya y reserve.
 2- Encienda el horno a temperatura media, para precalentarlo. Ponga los amarettis en la bolsa y con el palo de amasar tritúrelos, coloque en el bol, añada la ralladura de limón y mezcle bien.
 3- En la ollita a fuego alto lleve la leche a hervir. Retire y deje enfriar. Mientras tanto, casque los huevos y separe las yemas de las claras, colocándolas en bols diferentes.
 4- Bata las yemas con el azúcar restante, hasta tener una crema de color blancuzco y, mezclando suavemente, de abajo hacia arriba con movimientos envolventes, añada los bizcochos triturados.
 5- Después, bata las claras a punto nieve firme e incorpore a la mezcla anterior, con movimientos envolventes, para que la preparación no se baje. Luego, siempre mezclando suavemente, hasta tener una preparación homogénea, vierta la leche y el ron.
 6- Entonces, vierta la preparación en el molde, vierta agua hasta 2/3 de capacidad en el recipiente para el baño maría, coloque el molde y lleve al horno durante a 40 a 45 min. o hasta que introduciendo un palillo salga limpio.
 7- Retire, deje enfriar a temperatura ambiente y lleve a refrigerar, por lo menos 3 hs. antes de desmoldar y servir.";6,00;11;8;3;" Sirva acompañado de Crema Inglesa de Chocolate o Crema Moka o Dulce de Leche.";2
4;"Buñuelos de Queso";" 1- Caliente el agua y la manteca en la olla, a fuego medio/alto. En cuanto alcance el punto de ebullición, retire del fuego.
 2- Luego, incorpore de golpe la harina y. a fuego mediano bata de forma constante con la cuchara de madera hasta formar una masa que se despegue de las paredes de la olla. 
 3- Traslade la masa al bol y déjela enfriar, a temperatura ambiente. Añada los huevos de a uno, mezclando muy bien tras cada adición. Cuando la masa adquiera aspecto brillante y fino, agregue el queso rallado y la mostaza.
 4- En la sartén, caliente el aceite, a fuego medio/alto y fría en cucharadas de la masa hasta que se doren por todos lados, tardarán unos 3 min. de cada lado. Retire y deje escurrir los buñuelos sobre papel absorbente.
 5- Para preparar la salsa, mezcle el agua, el ajo picado, el azúcar y la salsa en la ollita. Lleve a fuego fuerte a ebullición y baje el fuego a lento.
 6- En una taza con 1/4 parte de agua coloque la fécula de maíz y disuélvala. Incorpórela a la olla y deje cocer la preparación sin dejar derevolver hasta que la salsa hierva y espese. Entonces, déjela hervir a fuego lento otros 3 min., revolviendo y sazone con pimienta molida al gusto.";12,00;13;9;2;" Sírvalos con la salsa o solos o como guarnición.";3
5;"Carpaccio";" 1- Limpie bien el lomo, quitándole la grasa y la membrana. Luego envuélvalo bien apretado en una hoja de papel aluminio y lleve al freezer por 1/2 h.
 2- Pasado ese tiempo, retire y córtelo en tajadas bien finas. Colóquelas en la fuente, formando hileras, algo encimadas y rocíe con pimienta, a gusto. Tape la fuente con papel film y lleve a refrigerar.
3- En el bol, vierta el aceite, el limón y sal, a gusto. Después bata hasta tener un líquido algo espeso y de color opaco.
4- Retire la carne y rocíela con el aderezo. Luego, tápela y lleve a refrigerar, nuevamente por lo menos 15 min.. Antes de servir, espolvoree con el queso.";4,00;10;8;2;" La ensalada Mesclum es un excelente acompañamiento.";2
6;"Ensalada Mesclum";"1- Lave bien las hojas, escúrralas y colóquelas en la ensaladera.
 
2- En el bol eche el aceite, el jugo, el perifollo y salpimiente. Mezcle bien y en el momento de servir vierta el aliño sobre la ensalada.";4,00;13;3;2;"El perifollo puede ser, también, reeemplazado por semillas de anís.";2
7;"Grunchies";" 1- Encienda el horno, para precalentar, a temperatura alta. En el bol mezcle, bien, la avena, la harina, la crema, la miel y la manteca derretida.
 2- Unte con manteca las placas y distribuya la pasta por cucharaditas, bien espaciadas entre sí. Luego, mójese los dedos con agua y aplaste los montoncitos de pasta, dándoles forma circular.
3- Hornee unos 7 a 10 min. o hasta que estén doradas, vigilando, pues como tienen miel se queman rápidamente. Retire y enfríe a temperatura ambiente.";90,00;14;9;2;" Se conservan por largo tiempo en recipientes cerrados herméticamente y son excelentes para los escolares.";3
8;"Salsa al Champagne";"1- En el bol bata la crema con el azúcar hasta que esté bien espesa. Entonces, mezclando con la espátula añádale la miel y la esencia.
2- Lleve a refrigerar, por lo menos 2 h. antes de servir. En ese momento, vierta de golpe el champagne sobre la crema, así levantará espuma, blanca. Luego, vierta en la salsera y sirva.";0,50;9;9;2;" Sirve para acompañar flanes, budines, tortas, pasteles sin relleno como Bizcochuelo Chiffon de Chocolate o Bizcochuelo Chiffon de Naranja.";5
9;"Batido de Duraznos al Jerez";"Eche todos los ingredientes en la licuadora y procese a velocidad máxima durante 4 a 5 min. o hasta que tenga una crema liviana.  
Distribuya la mezcla en los vasos y lleve a enfriar durante 1 h., como mínimo.  
En el momento de servir haga, con la cuchara, un copete de crema batida y termine la decoración con un gajo de durazno";4,00;11;9;2;"Es un excelente postre infantil si se suprime el jerez o se reemplaza por igual cantidad de almíbar de duraznos";2
11;"Arroz para Sushi";"    Coloque el arroz en el bol grande, lávelo bajo el chorro de agua, moviéndolo continuamente con la mano, cambiando el agau hasta que salga limpia, es decir los granos no tengan más almidón.
    Entonces, colóquelo en el tamiz y deje que se escurra toda el agua. Luego, viértalo en la olla de fondo grueso, tápelo herméticamente, si la tapa no calza bien coloque entremedio papel metálico.
    Lleve a fuego máximo, hasta que comience a hervir, entonces, baje a mínimo y deje cocer hasta que el arroz absorba toda el agua. En total, unos 20 min. de cocción. Una vez pasado ese tiempo, retire del fuego y coloque la olla, sin destapar, encima de un paño húmedo, 5 min, para que continúe la cocción y no se pegue el fondo.
    Mientras tanto, en la ollita vierta el vinagre, la sal, el azúcar y el mirin. Lleve a fuego bajo, a calentar hasta que el azúcar se haya disuelto. Retire y deje enfriar.
    Cuando el arroz esté listo, colóquelo en el bol de plástico o madera, añadale el condimento, mezclándo con la espátula. Siga removiéndolo, continuamente, hasta que el arroz haya enfriado, si desea acelerar el proceso recurra a un ventilador o secador de cabello.";20,00;17;19;2;"Este arroz se conserva refrigerado, con un paño húmedo colocado encima, en un recipiente tapado 3 días, aunque es conveniente utilizarlo en el momento pues es cuando tiene su textura ideal.";2
12;"Jengibre Encurtido";"Vierta agua en la ollita y lleve a fuego fuerte hasta que hierva. Mientras tanto, corte el jengibre en tajadas lo más delgadas posibles.
Luego, añada el jengibre en agua hirviendo y deje cocer por 1 min. Luego, cuele, páselo por agua fría y escúrralo nuevamente.
Mientras se escurre, en el recipiente, mezcle el vinagre, el azúcar, la sal y unas gotitas de colorante. Luego, añada el jengibre y mezcle bien.";750,00;21;19;2;"Puede conservalo refrigerado, en recipiente tapado, por varias semanas.";9
